PHASE 3: WORKFLOW EXTRACTION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
11,Unpublish Asset from Brand Portal,process,"This 'process' step indicates that the request to delete the asset has been rejected, likely notifying the requester and halting deletion.",com.adobe.acs.commons.workflow.process.impl.BrandPortalSyncProcess,DEACTIVATE,,,,,
12,Securian - CloudFront Cache Clear,process,This 'process' step sends an email notification indicating the completion of the current workflow or a significant stage within it.,com.securian.wcm.commons.core.workflow.process.impl.ClearCloudFrontCache,,,,,,
13,Validate deletion request,dynamic_participant,"This 'process' step sends an email to the designated approver group, likely requesting action or providing information about the asset.",,,,,,,
16,Go back to Email approver group step,goto,,com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
17,Deletion request approved,process,,com.securian.wcm.commons.core.workflow.ValidateRequestActivationApprovalProcessImpl,,,,,,
18,Deletion request rejected,process,,com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=initiator,message=Your deletion request was rejected. See the workflow comments for more information.,nextStepTitle=Cancel workflow",,,,,
19,Send workflow completion email,process,,com.securian.wcm.commons.core.workflow.WorkflowCompletionNotificationProcessImpl,,,,,,
20,Email the approver group,process,,com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=approver,message=Please review the following request.,nextStepTitle=Validate deletion request",,,,,
21,Add compliance logs,process,,com.securian.wcm.commons.core.workflow.AddComplianceLogs,,,,,,
22,FFmpeg thumbnails,process,,com.day.cq.dam.video.FFMpegThumbnailProcess,"count:4,index:2,[140:100],[48:48],[319:319]",,,,,
23,FFmpeg transcoding,process,,com.day.cq.dam.video.FFMpegTranscodeProcess,"profile:format_ogg,profile:format_aac,profile:format_flv,profile:format_aac_ie",,,,,
25,Getty Metadata Update,process,,com.securian.wcm.commons.core.workflow.process.impl.GettyMetadataUpdate,,,,,,
26,Continue updating?,process,,com.day.cq.dam.core.process.GateKeeperProcess,,,,,,
27,Securian Set Asset Publish URL,process,,com.securian.wcm.commons.core.workflow.process.impl.SetAssetPublishURL,,,,,,
28,Securian Log Process,process,,com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
29,Getty Check,or,,,,,,,,
30,Getty Metadata Update,process,,com.securian.wcm.commons.core.workflow.process.impl.GettyMetadataUpdate,,,,,,
31,or_1171689674,or,,,,,,,,
32,Set SmartCrop Names In Metadata,process,,com.securian.wcm.commons.core.workflow.process.impl.SetSmartCropRenditionNames,,,,,,
33,Continue updating?,process,,com.day.cq.dam.core.process.GateKeeperProcess,,,,,,
34,FFmpeg thumbnails,process,,com.day.cq.dam.video.FFMpegThumbnailProcess,"count:4,index:2,[140:100],[48:48],[319:319]",,,,,
35,FFmpeg transcoding,process,,com.day.cq.dam.video.FFMpegTranscodeProcess,"profile:format_ogg,profile:format_aac,profile:format_flv,profile:format_aac_ie",,,,,
36,Securian Is Asset Secure?,process,,com.securian.wcm.commons.core.workflow.IsAssetSecureProcessImpl,,,,,,
37,Securian Set Asset Publish URL,process,,com.securian.wcm.commons.core.workflow.process.impl.SetAssetPublishURL,,,,,,
38,Securian Log Process,process,,com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
39,Securian Detect Color Space,process,,com.securian.wcm.commons.core.workflow.process.impl.DetectColorSpace,,,,,,
40,Deactivate Page/Asset,process,,com.day.cq.wcm.workflow.process.DeactivatePageProcess,,,,,,
41,Securian - CloudFront Cache Clear,process,This 'process' step applies all pending changes or updates to the content item.,com.securian.wcm.commons.core.workflow.process.impl.ClearCloudFrontCache,,,,,,
42,Deactivate Page/Asset,process,"This 'process' step initiates a new workflow instance, possibly for the current or a related asset.",com.day.cq.wcm.workflow.process.DeactivatePageProcess,,,,,,
43,or_copy,or,This 'process' step allows for the replacement or modification of the image content of the asset.,,,,,,,
44,Copy All Content,process,This 'process' step logs general information or specific details during the workflow execution for tracking and auditing.,com.securian.wcm.commons.core.workflow.process.impl.CopyAllContent,,,,,,
45,Create New Workflow,process,This 'process' step logs relevant information during the workflow execution for Securian-specific tracking and auditing.,com.securian.wcm.commons.core.workflow.process.impl.StartNewWorkflow,workflowModel=/var/workflow/models/request_for_activation,,,,,
46,Create Package,process,This 'process' step likely retrieves or sets the version number for a DSS (Decision Support System) related component or asset.,com.securian.wcm.commons.core.workflow.process.impl.DsgPackage,,,,,,
47,Email Initiator,process,This 'process' step is likely related to indexing the asset in an Adhoc manner or finding it within an Adhoc index.,com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=initiator,message=The DSG Version Release Workflow has encountered an error and was unable to be completed. Please contact the WCM Team (wcmteam@securian.com) for more information.",,,,,
48,Securian Log Process,process,This 'dynamic_participant' step determines the appropriate user or group to validate the asset publish request based on defined criteria.,com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
49,DSG Version Number,process,,com.securian.wcm.commons.core.workflow.process.impl.DsgVersionNumber,,,,,,
50,Find an Advisor LatLng,process,"This 'goto' step directs the workflow back to the 'Email approver group step', possibly for re-notification or further action by that group.",com.securian.wcm.commons.core.workflow.process.impl.FindAnAdvisorLatLng,,,,,,
51,Find an Advisor Solr Index,process,,com.securian.wcm.commons.core.workflow.process.impl.FindAnAdvisorSolrIndex,,,,,,
52,Validate publish request,dynamic_participant,"This 'process' step clears the CloudFront cache as part of the workflow model, ensuring fresh content delivery.",,,,,,,
54,Waiting for activation,dynamic_participant,,,,,,,,
56,Go back to Email approver group step,goto,"This 'process' step indicates that the request to publish the asset has been approved, likely triggering the asset's activation or distribution.",com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
57,or_272547480,or,This 'dynamic_participant' step assigns the task of reviewing rejected changes to the appropriate user or group based on context.,,,,,,,
58,Wait for scheduled activation time,goto,"This 'goto' step directs the workflow back to the 'Email approver group step', possibly for re-notification or further action by that group.",com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
59,Trigger CloudFront Cache Clear,process,"This 'process' step indicates that the request to publish the asset has been rejected, likely notifying the requester and halting publication.",com.securian.wcm.commons.core.workflow.process.impl.ClearCloudFrontCache,,,,,,
60,Activate Page/Asset,process,This 'process' step sends an email notification indicating the completion of the current workflow or a significant stage within it.,com.securian.wcm.commons.core.workflow.process.impl.CustomActivation,,,,,,
61,Publish request approved,process,"This 'process' step sends an email to the designated approver group, likely requesting action or providing information about the asset.",com.securian.wcm.commons.core.workflow.ValidateRequestActivationApprovalProcessImpl,,,,,,
62,Verify Absolute Time,process,"This 'process' step validates the title of the asset, likely against naming conventions or required fields.",com.securian.wcm.commons.core.workflow.process.impl.VerifyAbsoluteTime,,,,,,
63,Review rejected changes,dynamic_participant,"This 'process' step validates the publish URL of the asset, ensuring it conforms to expected formats or destinations.",,,,,,,
65,Go back to Email approver group step,goto,,com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
66,Publish request rejected,process,"This 'goto' step directs the workflow back to the 'Email approver group step', possibly for re-notification or further action by that group.",com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=initiator,message=Your publication request was rejected.,nextStepTitle=Review the rejected changes",,,,,
67,Send workflow completion email,process,,com.securian.wcm.commons.core.workflow.WorkflowCompletionNotificationProcessImpl,,,,,,
68,Email the approver group,process,"This 'process' step updates the deactivation time within the workflow model, likely recording when a deactivation was scheduled or occurred.",com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=approver,message=Please review the content changes.,nextStepTitle=Validate publish request",,,,,
69,Validate Workflow Title,process,"This 'process' step deactivates the page or asset, making it no longer live or publicly accessible.",com.securian.wcm.commons.core.workflow.process.impl.ValidateWorkflowTitle,,,,,,
70,Add compliance logs,process,"This 'process' step initiates the clearing of the CloudFront cache, likely after an asset deactivation or update.",com.securian.wcm.commons.core.workflow.AddComplianceLogs,,,,,,
71,Validate deactivation request,dynamic_participant,"This 'process' step indicates that the request to deactivate the asset has been approved, likely triggering the asset's deactivation.",,,,,,,
72,or_copy,or,"This 'process' step indicates that the request to deactivate the asset has been rejected, likely notifying the requester and halting deactivation.",,,,,,,
73,Waiting for deactivation,dynamic_participant,This 'dynamic_participant' step assigns the task of reviewing rejected changes to the appropriate user or group based on context.,,,,,,,
75,Go back to Email approver group step,goto,"This 'process' step validates the title of the workflow instance itself, ensuring it meets required criteria or naming conventions.",com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
76,or_272547480,or,"This 'process' step sends an email to the designated approver group, likely requesting action or providing information about the asset.",,,,,,,
77,Wait for scheduled deactivation time,goto,This 'process' step likely adds author information to the asset or removes it from an index.,com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
78,Deactivate Page/Asset,process,This 'process' step likely involves authenticating a user or process based on image data or recognition.,com.day.cq.wcm.workflow.process.DeactivatePageProcess,,,,,,
79,Trigger CloudFront Cache Clear,process,This 'participant' step involves a user in changing the resource associated with a page.,com.securian.wcm.commons.core.workflow.process.impl.ClearCloudFrontCache,,,,,,
80,Deactivation request approved,process,This 'process' step deletes the page asset from the system.,com.securian.wcm.commons.core.workflow.ValidateRequestActivationApprovalProcessImpl,,,,,,
81,Verify Absolute Time,process,This 'dynamic_participant' step determines the appropriate user or group to validate the active operation being performed on the asset.,com.securian.wcm.commons.core.workflow.process.impl.VerifyAbsoluteTime,,,,,,
82,Review rejected changes,dynamic_participant,,,,,,,,
84,Go back to Email approver group step,goto,"This 'goto' step directs the workflow back to the 'email approver group' step, possibly for re-notification or further action by that group.",com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
85,Deactivation request rejected,process,"This 'process' step initiates a request for approval via email, noting it may impact the publisher process.",com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=initiator,message=Your deactivation request was rejected.,nextStepTitle=Review the rejected changes",,,,,
86,Validate Workflow Title,process,"This 'process' step sends an email containing the new location for review, likely after an asset or document has been moved or updated.",com.securian.wcm.commons.core.workflow.process.impl.ValidateWorkflowTitle,,,,,,
87,Email the approver group,process,,com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=approver,message=Please review the deactivation request.,nextStepTitle=Validate unpublish request",,,,,
88,Add compliance logs,process,"This 'process' step clears the Securian dispatcher cache, ensuring content updates are reflected.",com.securian.wcm.commons.core.workflow.AddComplianceLogs,,,,,,
89,Deactivates the page,process,,com.day.cq.wcm.workflow.process.DeactivatePageProcess,,,,,,
90,Delete page,process,This 'process' step exports the asset or related data to Adobe Target for use in personalization or A/B testing activities.,com.securian.wcm.commons.core.workflow.process.impl.DeletePageProcess,,,,,,
91,Delete Page resource,participant,This 'dynamic_participant' step determines the appropriate user or group to validate the request being made to Adobe Target.,,,,,,,
92,Delete page,process,,com.securian.wcm.commons.core.workflow.process.impl.DeletePageProcess,,,,,,
93,Validate Move Operation,dynamic_participant,,,,,,,,
94,or_610937780,or,"This 'goto' step directs the workflow back to the 'email approver group step', possibly for re-notification or further action by that group.",,,,,,,
95,Go back to Email approver group step,goto,"This 'process' step indicates that the request to Adobe Target has been rejected, likely notifying the requester and halting the export.",com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
96,Move Operation Approved  **Note:** This may impact the published pages! See the workflow description.,process,This 'dynamic_participant' step assigns the task of reviewing rejected changes to the appropriate user or group based on context.,com.securian.wcm.commons.core.workflow.ValidateRequestActivationApprovalProcessImpl,,,,,,
97,Send workflow completion email,process,,com.securian.wcm.commons.core.workflow.WorkflowCompletionNotificationProcessImpl,,,,,,
98,Email the approver group,process,"This 'goto' step directs the workflow back to the 'email approver group step', possibly for re-notification or further action by that group.",com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=approver,message=A move has been requested. Please review the new location.,nextStepTitle=Validate move operation",,,,,
99,Replicate After Page Move,process,"This 'process' step indicates that the request to Adobe Target has been rejected, likely notifying the requester and halting the export.",com.day.cq.wcm.workflow.process.AfterMovePageProcess,,,,,,
100,Securian - CloudFront Cache Clear,process,"This 'process' step sends an email to the designated approver group, likely requesting action or providing information about the asset.",com.securian.wcm.commons.core.workflow.process.impl.ClearCloudFrontCache,,,,,,
101,Securian - Dispatcher Cache Clear,process,This 'process' step is likely used to locate or identify an author group relevant to the current asset or workflow.,com.securian.wcm.commons.core.workflow.process.impl.ClearDispatcherCache,,,,,,
102,Export to Adobe Target,process,This 'process' step publishes the asset according to Securian's specific publishing protocols or destinations.,com.adobe.cq.xf.impl.adobetarget.ExportToTargetProcess,,,,,,
103,Validate Export to Adobe Target request,dynamic_participant,This 'process' step publishes the asset according to Securian's specific publishing protocols or destinations.,,,,,,,
104,or_copy,or,This 'process' step publishes the asset to the QA environment according to Securian's specific protocols.,,,,,,,
106,Go back to Email approver group step,goto,This 'process' step removes the asset from any and all collections it is currently a part of within the DAM.,com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
107,Export to Adobe Target request approved,process,,com.securian.wcm.commons.core.workflow.ValidateRequestActivationApprovalProcessImpl,,,,,,
108,Export to Adobe Target,process,,com.adobe.cq.xf.impl.adobetarget.ExportToTargetProcess,,,,,,
109,Review rejected changes,dynamic_participant,,,,,,,,
111,Go back to Email approver group step,goto,"This 'process' step removes the asset from any and all collections it is currently a part of within the DAM, following Securian-specific rules.",com.adobe.granite.workflow.core.process.GotoProcess,,,,,,
112,Export to Adobe Target request rejected,process,This 'process' step logs general information or specific details during the workflow execution for tracking and auditing.,com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=initiator,message=Your Export To Adobe Target request was rejected.,nextStepTitle=Review the rejected changes",,,,,
113,Email the approver group,process,This 'process' step processes metadata for non-font assets according to Securian's specific procedures.,com.securian.wcm.commons.core.workflow.CustomWorkflowNotificationProcessImpl,"sendTo=approver,message=Please review the content changes.,nextStepTitle=Validate Export to Adobe Target request",,,,,
114,Find an Advisor Unindex,process,This 'process' step sets the inventory name within the asset's metadata based on defined rules or inputs.,com.securian.wcm.commons.core.workflow.process.impl.FindAnAdvisorSolrUnindex,,,,,,
115,Getty Metadata Update,process,"This 'process' step synchronizes the asset with a specified collection, ensuring it's included or updated within that collection.",com.securian.wcm.commons.core.workflow.process.impl.GettyMetadataUpdate,,,,,,
116,Securian Log Process,process,This 'process' step automates the distribution of approved assets to the external Brand Portal for stakeholder access.,com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
117,Securian Publish Asset to QA,process,This 'process' step extracts data related to the asset publishing event for reporting or integration.,com.securian.wcm.commons.core.workflow.process.impl.PublishToQA,,,,,,
118,Securian - Set Asset Publish URL,process,"This 'process' step handles the processing of InDesign (INDD) files, likely for rendering previews or extracting data.",com.securian.wcm.commons.core.workflow.process.impl.SetAssetPublishURL,,,,,,
119,Securian - Log Process,process,"This 'process' step generates a rendition (e.g., a preview or alternate format) from the InDesign (INDD) file.",com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
120,Securian - Remove Asset From All Collections,process,This 'Launcher' step automatically creates a PNG rendition from the original asset when Dynamic Media is involved.,com.securian.wcm.commons.core.workflow.process.impl.RemoveAssetFromAllCollections,,,,,,
121,Log Process,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.securian.wcm.commons.core.workflow.process.impl.LogProcess,,,,,,
122,Securian - Process Workfront Metadata,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.securian.wcm.commons.core.workflow.process.impl.WorkfrontMetadataProcessing,,,,,,
123,Set SmartCrop Names In Metadata,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.securian.wcm.commons.core.workflow.process.impl.SetSmartCropRenditionNames,,,,,,
124,Sync Asset Metadata,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.securian.wcm.commons.core.workflow.process.impl.SyncAssetMetadata,,,,,,
125,Add Asset to Collection,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.securian.wcm.commons.core.workflow.process.impl.AddAssetToCollection,,,,,,
126,Publish Asset to Brand Portal,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.adobe.acs.commons.workflow.process.impl.BrandPortalSyncProcess,ACTIVATE,,,,,
127,Continue updating?,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.day.cq.dam.core.process.GateKeeperProcess,,,,,,
128,FFmpeg thumbnails,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.day.cq.dam.video.FFMpegThumbnailProcess,"count:4,index:2,[140:100],[48:48],[319:319]",,,,,
129,FFmpeg transcoding,process,This 'Launcher' step automatically invalidates the cache for items under /content/dam/ when triggered.,com.day.cq.dam.video.FFMpegTranscodeProcess,"profile:firefoxhq,profile:hq,profile:flv,profile:iehq",,,,,
130,INDD Verify Thumbnail,process,This 'Launcher' step automatically triggers an action when the 'PublishOfftime' property of an asset is changed.,com.day.cq.dam.core.process.CreateThumbnailProcess,"\[140:100],[48:48],[319:319]",,,,,
131,Create PTIFF Rendition (Dynamic Media),process,This 'Launcher' step automatically triggers an action when the 'PublishOntime' property of an asset is changed.,com.adobe.cq.dam.s7imaging.impl.is.CreatePTIFFProcess,,,,,,
132,Launcher: DeleteAssetFromReviewOnDeletion,Launcher,"This 'Launcher' step automatically updates the 'AssetLastOn/OffUpdate' property, likely when an asset's on/off time status changes.",/content/dam,{Long}2 | /content/dam,,,,,
133,Launcher: InvalidateAdvisorXFsOnArticleCreation,Launcher,"This 'Launcher' step automatically updates the 'AssetLastOn/OffUpdate' property, likely when an asset's on/off time status changes.",/content/advisor/((?!master).*)/en/news/(.*),{Long}1 | /content/advisor/((?!master).*)/en/news/(.*),,,,,
134,Launcher: InvalidateAdvisorXFsOnArticleDeletion,Launcher,"This 'Launcher' step automatically updates the 'AssetLastOn/OffUpdate' property, likely when an asset's on/off time status changes.",/content/advisor/((?!master).*)/en/news/(.*),{Long}2 | /content/advisor/((?!master).*)/en/news/(.*),,,,,
135,Launcher: InvalidateAdvisorXFsOnArticleMod,Launcher,This 'Launcher' step automatically triggers an action when a workflow process is created.,/content/advisor/((?!master).*)/en/news/(.*),{Long}16 | /content/advisor/((?!master).*)/en/news/(.*),,,,,
136,Launcher: InvalidateAdvisorXFsOnEventCreation,Launcher,This 'Launcher' step automatically triggers an action when a workflow process is created.,/content/dam/s-frag/calendar,{Long}1 | /content/dam/s-frag/calendar,,,,,
137,Launcher: InvalidateAdvisorXFsOnEventDeletion,Launcher,This 'Launcher' step automatically triggers an action when a workflow process is created.,/content/dam/s-frag/calendar,{Long}2 | /content/dam/s-frag/calendar,,,,,
138,Launcher: InvalidateAdvisorXFsOnEventMod,Launcher,This 'Launcher' step automatically triggers an action when a workflow process is created.,/content/dam/s-frag/calendar,{Long}16 | /content/dam/s-frag/calendar,,,,,
139,Launcher: PublishToQAOnConfChange,Launcher,This 'Launcher' step automatically triggers an action when a workflow process is created.,/conf/wcm-commons,{Long}16 | /conf/wcm-commons,,,,,
140,Launcher: PublishToQAOnTagChange,Launcher,This 'Launcher' step automatically triggers a video encoding process in Dynamic Media when a video is created.,/content/cq:tags/asset-preview,{Long}16 | /content/cq:tags/asset-preview,,,,,
141,Launcher: PublishToQAOnTagCreate,Launcher,This 'Launcher' step automatically triggers a video encoding process in Dynamic Media when a video is modified.,/content/cq:tags/asset-preview,{Long}1 | /content/cq:tags/asset-preview,,,,,
142,Launcher: PublishToReviewOnMetadataChange,Launcher,This 'Launcher' step automatically triggers a video encoding process in Dynamic Media when a video is modified and re-uploaded.,/content/dam(?!/uploads)(?!/archive)(/.*)/jcr:content/metadata,{Long}16 | /content/dam(?!/uploads)(?!/archive)(/.*)/jcr:content/metadata,,,,,
143,Launcher: PublishToReviewOnNodeChange,Launcher,This 'Launcher' step automatically triggers a video encoding process (version 4.0.0) in Dynamic Media when a video is modified and re-uploaded.,/content/dam(?!/archive)(/.*/)jcr:content/data/master,{Long}16 | /content/dam(?!/archive)(/.*/)jcr:content/data/master,,,,,
144,Launcher: SetAssetPublishURLOnMove,Launcher,This 'Launcher' step automatically triggers a video encoding process (version 4.0.0) in Dynamic Media when a video is modified and re-uploaded.,/content/dam(/.*),{Long}1 | /content/dam(/.*),,,,,
145,Launcher: SetAssetPublishUrlOnPublishToQA,Launcher,This 'Launcher' step automatically triggers a video subset creation and encoding process in Dynamic Media.,/content/dam(/.*),{Long}1 | /content/dam(/.*),,,,,
146,Launcher: SetAssetPublishUrlOnUpdate,Launcher,This step extracts the original file name and stores it in a dedicated metadata field for consistent tracking.,/content/dam(/.*),{Long}16 | /content/dam(/.*),,,,,
147,Launcher: SyncMetadataFromSNOW,Launcher,This 'process' step records the asset's current folder location within the DAM for organizational transparency.,/content/dam/(s-form||form)(/.*),{Long}16 | /content/dam/(s-form||form)(/.*),,,,,
148,Launcher: WorkfrontAssetProcessOnCreate,Launcher,"This step captures the original file extension (e.g., .jpg, .pdf) and adds it to the asset's metadata records.",/content/dam(?!/archive)(/.*),{Long}1 | /content/dam(?!/archive)(/.*),,,,,
149,Launcher: WorkfrontAssetProcessOnMod,Launcher,This 'process' step automatically updates or synchronizes the display title of the parent folder based on naming conventions.,/content/dam(?!/archive)(/.*),{Long}16 | /content/dam(?!/archive)(/.*),,,,,
150,Launcher: WorkfrontAssetUrlWritebackOnCreate,Launcher,This step applies predefined metadata values to the asset based on a mapping table or configuration file.,/content/dam(?!/archive)(/.*),{Long}1 | /content/dam(?!/archive)(/.*),,,,,
151,Launcher: WorkfrontAssetWritebackOnMod,Launcher,This core AEM step executes the standard 'DAM Update Asset' workflow to process renditions and extract basic metadata.,/content/dam(?!/archive)(/.*),{Long}16 | /content/dam(?!/archive)(/.*),,,,,
152,Launcher: dm_encode_video_create,Launcher,This 'process' step uses Adobe Sensei to automatically generate smart crops for images based on detected focal points.,/content/dam(/.*/)renditions/original,{Long}1 | /content/dam(/.*/)renditions/original,,,,,
153,Launcher: dm_encode_video_create_(post-6.3),Launcher,This 'or' step manages branching logic within the workflow to handle different asset types or processing paths.,/content/dam(?!/archive)(/.*/)renditions/original,{Long}1 | /content/dam(?!/archive)(/.*/)renditions/original,,,,,
154,Launcher: dm_encode_video_mod,Launcher,This 'Launcher' step automatically triggers a video encoding process when a video asset is modified.,/content/dam(/.*/)renditions/original,{Long}16 | /content/dam(/.*/)renditions/original,,,,,
155,Launcher: dm_encode_video_mod_(post-6.3),Launcher,This 'Launcher' step automatically triggers a video encoding process (post-6.3 version) when a video asset is modified.,/content/dam(?!/archive)(/.*/)renditions/original,{Long}16 | /content/dam(?!/archive)(/.*/)renditions/original,,,,,
156,Launcher: dm_encode_video_mod_reupload,Launcher,This 'Launcher' step automatically triggers a video encoding process when a video asset is modified and re-uploaded.,/content/dam(?!/archive)(/.*)/jcr:content/metadata,{Long}16 | /content/dam(?!/archive)(/.*)/jcr:content/metadata,,,,,
157,Launcher: process_video_subasset_create,Launcher,This 'Launcher' step automatically triggers a video subasset creation process when a video is created.,/content/dam(?!/archive)(/.*/)(subassets)(/.*/)renditions/original,{Long}1 | /content/dam(?!/archive)(/.*/)(subassets)(/.*/)renditions/original,,,,,
158,Launcher: process_video_subasset_mod,Launcher,This 'Launcher' step automatically triggers a video subasset creation process when a video is modified.,/content/dam(?!/archive)(/.*/)(subassets)(/.*/)renditions/original,{Long}16 | /content/dam(?!/archive)(/.*/)(subassets)(/.*/)renditions/original,,,,,
159,Launcher: update_asset_create,Launcher,This 'Launcher' step automatically triggers an asset update process when a new asset is created.,/content/dam(?!/archive)(/((?!/subassets).)*/)renditions/original,{Long}1 | /content/dam(?!/archive)(/((?!/subassets).)*/)renditions/original,,,,,
160,Launcher: update_asset_create_without_DM,Launcher,This 'Launcher' step automatically triggers an asset update process (excluding Dynamic Media) when a new asset is created.,/content/dam(?!/archive)(/.*/)renditions/original,{Long}1 | /content/dam(?!/archive)(/.*/)renditions/original,,,,,
161,Launcher: update_asset_mod,Launcher,This 'Launcher' step automatically triggers an asset update process when an existing asset is modified.,/content/dam(?!/archive)(/((?!/subassets).)*/)renditions/original,{Long}16 | /content/dam(?!/archive)(/((?!/subassets).)*/)renditions/original,,,,,
162,Launcher: update_asset_mod_without_DM,Launcher,This 'Launcher' step automatically triggers an asset update process (excluding Dynamic Media) when an existing asset is modified.,/content/dam(?!/archive)(/.*/)renditions/original,{Long}16 | /content/dam(?!/archive)(/.*/)renditions/original,,,,,
